Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
https://smartbuy-me.com/smartbuystore/en/Categories/Apple-Products/Apple-Accessories/Chargers-and-more/c/50102,25,14826,4435,82081,15584.16,100.000%,.09561,353.84,8.84,3789463.6
https://www.google-analytics.com/j/collect?v=1&_v=j101&a=507031654&t=pageview&_s=1&dl=https%3A%2F%2Fsmartbuy-me.com%2Fsmartbuystore%2Fen%2FCategories%2FApple-Products%2FApple-Accessories%2FChargers-and-more%2Fc%2F50102&ul=en-us&de=UTF-8&dt=Chargers%20and%20more%20%7C%20Apple%20Accessories%20%7C%20Apple%20Products%20%7C%20Categories%20%7C%20Smart%20Buy&sd=24-bit&sr=1366x768&vp=1303x654&je=0&_u=QACAAAABAAAAAC~&jid=&gjid=&cid=1656239107.1684259765&tid=UA-183551835-1&_gid=1261347680.1708214542&_slc=1&gtm=45Xe42e0n81K3C4ST5v835411894za200&gcd=13l3l3l3l1&dma=0&z=143219220,25,442,113,988,296.47,0.000%,.10255,0.04,0.09,440.0
https://smartbuy-me.com/smartbuystore/en/Categories/Apple-Products/Apple-Accessories/Chargers-and-more/Joyroom-Fast-Charging-power-bank-10000mAh-PD3-0-QC3-0-22-5W-BLACK/p/HSL0711ST0270,25,11054,3135,27938,9260.82,100.000%,.10094,87.60,10.44,888621.2
https://maps.googleapis.com/maps/api/mapsjs/gen_204?csp_test=true,50,408,118,2851,444.08,4.000%,.19579,0.08,0.07,426.0
https://www.google-analytics.com/j/collect?v=1&_v=j101&a=354899225&t=pageview&_s=1&dl=https%3A%2F%2Fsmartbuy-me.com%2Fsmartbuystore%2Fen%2FCategories%2FApple-Products%2FApple-Accessories%2FChargers-and-more%2FJoyroom-Fast-Charging-power-bank-10000mAh-PD3-0-QC3-0-22-5W-BLACK%2Fp%2FHSL0711ST0270&ul=en-us&de=UTF-8&dt=Joyroom%20Fast%20Charging%20power%20bank%2010000mAh%20PD3.0%20QC3.0%2022.5W%20BLACK%20%7C%20Chargers%20and%20more%20%7C%20Apple%20Accessories%20%7C%20Apple%20Products%20%7C%20Categories%20%7C%20Smart%20Buy&sd=24-bit&sr=1366x768&vp=1303x654&je=0&_u=QACAAAABAAAAAC~&jid=&gjid=&cid=1656239107.1684259765&tid=UA-183551835-1&_gid=1261347680.1708214542&_slc=1&gtm=45Xe42e0n81K3C4ST5v835411894za200&gcd=13l3l3l3l1&dma=0&z=113475861,25,225,102,877,172.58,0.000%,.10365,0.04,0.11,440.0
"https://bam.nr-data.net/1/f974819dfa?a=72721442&v=1.251.1&to=MwEDNUoHD0tSVUNbXwpLMhFKDw9fcFlZRkILCA0ESkkxSlxSQlFENAUGBHsJD0xBWVteVRZLERNXAhRbR3JSRlENCA%3D%3D&rst=4169&ck=0&s=d5b542956007f3de&ref=https://smartbuy-me.com/smartbuystore/en/Categories/Apple-Products/Apple-Accessories/Chargers-and-more/Joyroom-Fast-Charging-power-bank-10000mAh-PD3-0-QC3-0-22-5W-BLACK/p/HSL0711ST0270&hr=0&ap=470&be=132&fe=3485&dc=1923&fsh=0&perf=%7B%22timing%22:%7B%22of%22:1708217046636,%22n%22:0,%22u%22:156,%22ue%22:156,%22f%22:8,%22dn%22:8,%22dne%22:8,%22c%22:8,%22s%22:8,%22ce%22:8,%22rq%22:13,%22rp%22:133,%22rpe%22:542,%22di%22:1933,%22ds%22:1937,%22de%22:2055,%22dc%22:3607,%22l%22:3607,%22le%22:3617%7D,%22navigation%22:%7B%7D%7D&fp=693&fcp=693",25,248,94,473,118.68,100.000%,.10324,0.02,0.12,178.9
https://smartbuy-me.com/smartbuystore/en/AGTC/AGTC-Lightning-to-3-5-mm-adapter-%E2%80%93-MH030-%282-in-1-adapter%29/p/SHT0711ST0106,25,7714,3173,25718,7059.60,100.000%,.09905,52.96,10.48,547489.5
https://www.google-analytics.com/j/collect?v=1&_v=j101&a=1854299800&t=pageview&_s=1&dl=https%3A%2F%2Fsmartbuy-me.com%2Fsmartbuystore%2Fen%2FAGTC%2FAGTC-Lightning-to-3-5-mm-adapter-%25E2%2580%2593-MH030-%25282-in-1-adapter%2529%2Fp%2FSHT0711ST0106&ul=en-us&de=UTF-8&dt=AGTC%20Lightning%20to%203.5%20mm%20adapter%20%E2%80%93%20MH030%20(2%20in%201%20adapter)%20%7C%20AGTC%20%7C%20Smart%20Buy&sd=24-bit&sr=1366x768&vp=1303x654&je=0&_u=QACAAAABAAAAAC~&jid=&gjid=&cid=1656239107.1684259765&tid=UA-183551835-1&_gid=1261347680.1708214542&_slc=1&gtm=45Xe42e0n81K3C4ST5v835411894za200&gcd=13l3l3l3l1&dma=0&z=1868803897,25,273,105,844,212.98,0.000%,.09998,0.04,0.09,440.0
"https://bam.nr-data.net/1/f974819dfa?a=72721442&v=1.251.1&to=MwEDNUoHD0tSVUNbXwpLMhFKDw9fcFlZRkILCA0ESkkxSlxSQlFENAUGBHsJD0xBWVteVRZLERNXAhRbR3JSRlENCA%3D%3D&rst=4328&ck=0&s=d5b542956007f3de&ref=https://smartbuy-me.com/smartbuystore/en/AGTC/AGTC-Lightning-to-3-5-mm-adapter-%25E2%2580%2593-MH030-%25282-in-1-adapter%2529/p/SHT0711ST0106&hr=0&ap=549&be=113&fe=3863&dc=2409&fsh=0&perf=%7B%22timing%22:%7B%22of%22:1708217057413,%22n%22:0,%22u%22:133,%22ue%22:133,%22f%22:11,%22dn%22:11,%22dne%22:11,%22c%22:11,%22s%22:11,%22ce%22:11,%22rq%22:14,%22rp%22:113,%22rpe%22:617,%22di%22:2410,%22ds%22:2415,%22de%22:2522,%22dc%22:3971,%22l%22:3971,%22le%22:3976%7D,%22navigation%22:%7B%7D%7D&fp=667&fcp=667",25,225,96,702,160.38,100.000%,.09995,0.02,0.11,179.1
https://smartbuy-me.com/smartbuystore/en/cart/add,25,1327,182,20442,4012.58,8.000%,.09951,0.23,0.06,2335.0
https://smartbuy-me.com/smartbuystore/en/cart/miniCart/SUBTOTAL?_=1708217058559,25,131,63,467,95.90,0.000%,.09957,0.07,0.05,688.2
Test,25,37289,13337,92939,20556.05,100.000%,.08795,449.29,27.15,5231127.4
TOTAL,325,5736,63,92939,12962.97,47.385%,1.14333,898.57,54.30,804788.8
